0,1,2,3
The residence requirement significantly restricts the freedom of movement for refugees and poses an obstacle in their search for employment.,Asylum seekers should remain within the district where they are accommodated.,1.0,Surface
"Snowmaking systems may seem attractive in the short term, but they lack long-term future prospects.",The state should continue providing funds for the modernization and expansion of snowmaking facilities.,2.0,
Museums should be less regulated in terms of the tools they use for making profit.,Entrance to state museums must be free for everyone.,3.0,
"The bargaining parties, unions, and employers should set wages, not the state by law.",Companies with state contracts must be required to pay a higher minimum wage.,4.0,
Minimum wage should not be differentiated based on the client.,Companies with state contracts must be required to pay a higher minimum wage.,5.0,
"""We maintain that children in the first and second grades receive written information about their learning development instead of grades.""",Students should receive grades starting the first grade.,6.0,
"""In times of low interest rates, one could use additional revenue for investments instead of paying off debts.""",We propose that additional tax revenues should be primarily used for debt reduction.,7.0,
We believe merging theater will lead a loss of individual and creative diversity.,We support the organizational merger of the state theater and private theaters in small cities while maintaining their venues.,8.0,
We believe unemployed people should receive support in the form of assistance for social and personal problems.,Recipients of unemployment benefits should receive continuously reduced funding if they decline job offers.,9.0,
"""We will abolish long-term tuition fees.""",Fees for long-term students in the state should be maintained.,10.0,
"""We are fundamentally in favor of a lifelong entitlement to free education.""",We support maintaining fees for long-term students in the state.,11.0,
"Long-term students are a significant part of our electorate. We still need them.""",We support maintaining fees for long-term students in the state.,12.0,
Farmers should decide individually on the number of livestock.,We are planning to implement a limit on the total number of livestock in agricultural farms.,13.0,
"The size of livestock is not a criterion for the quality of animal husbandry.""",We are planning to implement a limit on the total number of livestock in agricultural farms.,14.0,
"""Employees should have time for family on Sunday. There is enough shopping time during the week due to the long opening hours.""",Businesses should be allowed to extend their Sunday opening hours.,15.0,
"""We are opposed to identity checks at the border with Poland.""",The continuation of permanent border controls at the Poland border is necessary.,16.0,
"""If a headscarf is used as a political weapon, it can already be prohibited today.""",Headscarves for female teachers in public schools must be banned.,17.0,
"""We reject a car toll for social and ecological reasons.""",We support implementing tolls for the use of highways.,18.0,
"""The maintenance, expansion, and use of the road network in Germany is already financed by drivers through taxes.""",We support implementing tolls for the use of highways.,19.0,
Cost burden should correspond to the extent of usage.,We support implementing tolls for the use of highways.,20.0,
We believe that introducing tolls for the use of highways will lead to an overload of bypass roads.,The implementation of tolls for highway usage is advocated.,21.0,
We need foreigner repatriation programs and not integration programs.,We advocate for more funding for projects aimed at the integration of foreigners.,22.0,
Research that can be practically applied does not belong in our universities.,Research for military purposes should be allowed at public universities.,23.0,
"""The military has no place in schools of any kind.""",Research for military purposes should be allowed at public universities.,24.0,
"""Foreigners must enjoy the right to hospitality, but not the right to vote.""",We support granting local voting rights to all foreigners who have permanent residince.,25.0,
"Public broadcasting is an institution that is an essential part of public services.""",The number of radio programs should be reduced.,26.0,
"We believe religion must remain a private matter.""",Denominational religious education should continue to be offered in our schools.,27.0,
"""Small businesses would be unduly disadvantaged compared to large and high-revenue companies if we introduce minimum tax rate.",We support the implementation of an EU-wide minimum tax rate for businesses.,28.0,
There must not be any compulsion for a doctor to conduct abortions.,We will ensure that more clinics offer abortion services.,29.0,
"""If Germany doesn't deliver arms abroad, others will.""",We advocate for a general ban on arms exports by German companies.,30.0,
"""Currently, we have no plans to lower the minimum participation required for referendums.""",It must be significantly easier to initiate referendums.,31.0,
"""Environmental protection is homeland protection.""",We propose reducing funding for the National Park.,32.0,
We believe that any type of service should be paid for.,We support making public transportation free of charge throughout the state.,33.0,
"""Revenue from ticket sales is an indispensable pillar for financing public transport.",Public transportation should be free of charge throughout the state.,34.0,
"Air traffic, not only over regional airports, should be restricted as much as possible to protect the environment. ",The continued operation of regional airports should persist.,35.0,
"""We want to enable more people to live in home ownership.",We are raising the property transfer tax in Hamburg.,36.0,
"We don't approve that hospitals are increasingly becoming business enterprises.""",We will continue to bill inpatient hospital treatments through a fixed case rate system.,37.0,
"""Healthcare must be ensured regardless of financial issues and the financial circumstances of the patients.""",We will continue to bill inpatient hospital treatments through a fixed case rate system.,38.0,
"Children should be informed about the advantages, disadvantages, or dangers of religion.""",We support the elimination of religious education in public schools.,39.0,
"""The free decision-making power of businesses regarding opening hours leads to an infringement on workers' rights.""",We support allowing businesses to independently decide their Sunday opening hours.,40.0,
"""We believe that positive aspects of our country's history should be highlighted more.""",We believe that visiting memorial sites that commemorate the crimes of National Socialism should remain mandatory for all students.,41.0,
"""EU solo efforts in so-called 'climate protection' disadvantage the European economy and are ineffective.""",We should set higher CO2 reduction targets for the European Union.,42.0,
"""The crisis can only be overcome with certain financial assistance.""","We believe that excessive new debt by states in the Eurozone should be penalized, even during an economic crisis.",43.0,
"""Students should have the free choice between participating in religious education or ethics classes.""",Religious education should be removed from public schools.,44.0,
"""Synthetic pesticides are harmful as toxins to our flora and fauna and therefore ultimately harmful to humans as well.""",Agricultural businesses should be permitted to continue using synthetic pesticides.,45.0,
"Conditions must be created to enable and make ecological farming profitable for farmers.""",We support allowing agricultural businesses to continue using synthetic pesticides.,46.0,
We reject any form of compulsion in educational paths.,We propose making the final year of kindergarten mandatory for all children before they start school.,47.0,
"""The 5% hurdle prevents the representation of the political will of the citizens.""",We support maintaining the five percent threshold for elections to the State Parliament.,48.0,
"""Diversity in public-service broadcasting is important.""",The number of radio programs by WDR should be reduced.,49.0,
"""We are not against unisex toilets, but there are more urgent problems and more important investments than such a regulation.""",We propose that every public building in the country should have at least one unisex toilet accessible to all genders.,50.0,
"""Merging into a unified state police involves more disadvantages than advantages.""",We support the merger of the Bremen and Bremerhaven police forces into a unified state police.,51.0,
"""Everyone has the right to move freely.""",Asylum seekers in Saxony should be permitted to move freely only within the state.,52.0,
"""The level of social basic security must be oriented towards the capability of the member states and is a national competence.""",The EU should set standards for the minimum level of social welfare in member states.,53.0,
"""Religious education should convey knowledge of all religions. ",Islamic religious education should be offered at schools.,54.0,
"We reject any form of religious education in public schools.""",We support offering Islamic religious education at schools.,55.0,
"""Brothels should be allowed to open within the existing regulations.",We support a ban on issuing operating permits for new brothels.,56.0,
"""Granting the right to vote to foreigners would mean that politicians would increasingly disregard the interests of the locals.",We support granting all permanently residing foreigners the right to vote in district council elections.,57.0,
"""The EU should increasingly invest in joint European peace projects.""",We support continued investment in joint European defense projects.,58.0,
"""Peace is created at the negotiating table, not through armament.""",Continued investment in joint European defense projects should be maintained.,59.0,
"""The term of a prime minister should be only decided by the vote of the citizens.""",The term of the prime minister should be limited.,60.0,
"""The headscarf is a political symbol that stands in contrast to our liberal democratic value system.""",Teachers should be permitted to wear headscarves in schools.,61.0,
"""Youth are at an age where they are easily manipulated and seldom able to analyze politics correctly.""",Lowering the voting age to 16 for state elections should be implemented.,62.0,
"Belonging to a certain social or ethnic group alone is not a criterion for police service.""",We support increasing the recruitment of individuals with migration backgrounds in the police force.,63.0,
"""The salaries result from the different training of the teachers.""",We advocate for equal starting salaries for teachers of all school types.,64.0,
We stand for the strict separation of religion and state.,We believe the European Union should embrace its identity as a community founded on Christian values.,65.0,
"""Criminal law does not solve the problems of drug policy, but in some cases worsens them.""",Stricter enforcement against the possession of illegal drugs is necessary.,66.0,
,Continued recruitment of foreign nursing staff is necessary.,67.0,
"""Due to the increased willingness to resort to violence against police officers, we consider it inappropriate to individualize the police forces.""",All police officers must wear individual identification during large operations.,68.0,
"""The 'stay-at-home allowance' is based on an ultra-conservative family image.""",We advocate for providing childcare benefits to parents whose children do not attend daycare.,69.0,
"""We believe that mandatory, cost-driving regulations in the state building code hinder citizens from building rather than promoting it.""",The installation of photovoltaic systems should be mandatory in the construction of new residential buildings.,70.0,
"""The presumption of innocence must fundamentally apply first.",Police must be allowed to conduct checks without prior suspicion.,71.0,
cities and municipalities should be able to decide on their tax policies themselves.,We propose to eliminate the overnight stay tax to boost tourism.,72.0,
The status of being a lifetime civil servant is not necessary for teachers and hinders greater flexibility.,Maintaining civil servant status for teachers in schools is essential.,73.0,
We should show respect to our culture.,"The dance ban on ""silent days"" such as Good Friday and the Day of National Mourning should be abolished.",74.0,
We believe that children should learn together,We are committed to ensuring the long-term retention of special needs schools for children and adolescents with disabilities.,75.0,
"The country cannot support everyone accordingly, leading to automatic inequalities.""",We advocate for increased financial support for independent cultural creators.,76.0,
"There should be designated areas for smokers and non-smokers.""",A complete ban on smoking in restaurants and nightclubs should be implemented.,77.0,
Free Democrats are of the opinion that services received must be paid for.,The state of Bremen should work to ensure that private households continue to be supplied with electricity even if their bills are outstanding.,78.0,
"""The decision on the appointment to leadership positions should be based on professional and personal suitability.""",A gender quota should be maintained for leadership positions in state enterprises.,79.0,
"""Those who cannot assume legal responsibility should ultimately not be allowed to participate in decision-making.""",The voting age for state elections should be lowered to 16.,80.0,
"""Any form of CO2 taxation should be abolished.""",The government-mandated price for CO2 emissions from heating and driving should increase at a faster rate than initially planned.,81.0,
Drug testing stations make the work easier for drug dealers.,We support the establishment of mobile drug testing stations in Berlin to check illegal drugs for dangerous contaminants before consumption.,82.0,
We advocate for the introduction of a 365-euro annual ticket in all public transportation associations.,We support making public transportation free of charge.,83.0,
"""A single member state should not be able to block the admission of new member states.""",We propose that the accession of new states to the EU should be confirmed through referendums in all member states.,84.0,
We strongly advocate for gender parity in politics.,We support allowing parties to freely determine the gender composition on their lists for European Parliament elections.,85.0,
The states of Berlin and Brandenburg have enough to handle with the major project of Airport and its skyrocketing costs at the expense of taxpayers.,We believe Brandenburg should back Berlin's bid for the Olympic Games.,86.0,
"Religious circumcision is a reasonable part of the free exercise of religion.""",We advocate for making the religious circumcision of minor boys a punishable offense.,87.0,
"""It is important to promote all cultures.",Continued funding for cultural projects by individuals with a migration background should be maintained.,88.0,
We support funding projects to combat violence in football using state resources.,"""The larger clubs should be responsible for moderating the fan community.""",89.0,
We firmly believe that demonstrations violating COVID-19 safety measures should be promptly dispersed.,"""The right to demonstrate is a crucial part of a civic society.",90.0,
"""The provision of public services for people without residence permit is not a municipal responsibility.""",Access to anonymous medical care should be provided for individuals without valid residency papers.,91.0,
"We fundamentally reject such state overregulations in the real estate market.""",We support reintroducing the rent control measures.,92.0,
We advocate for making the purchase of sexual services a criminal offense.,"We believe that banning prostitution will lead to even stronger exploitation, crime rates, and incidence of diseases.""",93.0,
"""The vocational training is the responsibility of the companies, which ultimately also benefit from the qualifications of their employees.""",The state should cover all costs for vocational training programs.,94.0,
"Students with lower incomes should be supported more.""",We advocate for scholraships to be granted independently of parental income.,95.0,
Congestion charge places additional burdens on the citizens and businesses of Hamburg. ,Introducing a congestion charge for vehicles in the city center is necessary to reduce traffic and pollution.,96.0,
Human rights violation taking place in the Maghreb states should raise international attention.,"The Maghreb states (Algeria, Libya, Mauritania, Morocco, and Tunisia) should be classified as safe countries of origin for asylum procedures.",97.0,
"""The fireworks get on the nerves of both humans and animals, cost a lot of money, and overwhelm city cleaning services.""",The city should allow the lighting of private New Year's fireworks.,98.0,
"""The construction and operation of wind turbines doesn't contribute to environmental and nature conservation.""",We support the continued construction of wind turbines in forested areas.,99.0,
Family is one of the most important and universal values.,We propose eliminating the right of recognized refugees to family reunification.,100.0,
